:GT2K_LOG,1
:LOGGING_ID,12
:LOGGING_NAME,"MSAPシード剥離紐付けデータlog1"
:SERIAL_ID,225
:DEVICE_NUM,234
:RECORD_NUM,1
:DATE_ORDER,YYYY/MM/DD hh:mm:ss
:LOCAL_TIME,GMT 00:00
:TIME_INF_ORDER,
:DEV_COMMENT,"設備コード","モデル名","パネルID","レシピ","開始時間",,,,,,"終了時間",,,,,,"水カーテン　実処理時間","水カーテン　上側圧力Max","水カーテン　上側圧力Ave","水カーテン　上側圧力Min","水カーテン　下側圧力Max","水カーテン　下側圧力Ave","水カーテン　下側圧力Min","液切1　実処理時間","ｴｯﾁﾝｸﾞ１　実処理時間","ｴｯﾁﾝｸﾞ１　温度Max","ｴｯﾁﾝｸﾞ１　温度Ave","ｴｯﾁﾝｸﾞ１　温度Min","ｴｯﾁﾝｸﾞ１　上側圧力Max","ｴｯﾁﾝｸﾞ１　上側圧力Ave","ｴｯﾁﾝｸﾞ１　上側圧力Min","ｴｯﾁﾝｸﾞ１　下側圧力Max","ｴｯﾁﾝｸﾞ１　下側圧力Ave","ｴｯﾁﾝｸﾞ１　下側圧力Min","ｴｯﾁﾝｸﾞ１　上側流量１Max","ｴｯﾁﾝｸﾞ１　上側流量１Ave","ｴｯﾁﾝｸﾞ１　上側流量１Min","ｴｯﾁﾝｸﾞ１　上側流量２Max","ｴｯﾁﾝｸﾞ１　上側流量２Ave","ｴｯﾁﾝｸﾞ１　上側流量２Min","ｴｯﾁﾝｸﾞ１　上側流量３Max","ｴｯﾁﾝｸﾞ１　上側流量３Ave","ｴｯﾁﾝｸﾞ１　上側流量３Min","ｴｯﾁﾝｸﾞ１　上側流量４Max","ｴｯﾁﾝｸﾞ１　上側流量４Ave","ｴｯﾁﾝｸﾞ１　上側流量４Min","ｴｯﾁﾝｸﾞ１　上側流量５Max","ｴｯﾁﾝｸﾞ１　上側流量５Ave","ｴｯﾁﾝｸﾞ１　上側流量５Min","ｴｯﾁﾝｸﾞ１　上側流量６Max","ｴｯﾁﾝｸﾞ１　上側流量６Ave","ｴｯﾁﾝｸﾞ１　上側流量６Min","ｴｯﾁﾝｸﾞ１　上側流量７Max","ｴｯﾁﾝｸﾞ１　上側流量７Ave","ｴｯﾁﾝｸﾞ１　上側流量７Min","ｴｯﾁﾝｸﾞ１　下側流量１Max","ｴｯﾁﾝｸﾞ１　下側流量１Ave","ｴｯﾁﾝｸﾞ１　下側流量１Min","ｴｯﾁﾝｸﾞ１　下側流量２Max","ｴｯﾁﾝｸﾞ１　下側流量２Ave","ｴｯﾁﾝｸﾞ１　下側流量２Min","ｴｯﾁﾝｸﾞ１　下側流量３Max","ｴｯﾁﾝｸﾞ１　下側流量３Ave","ｴｯﾁﾝｸﾞ１　下側流量３Min","ｴｯﾁﾝｸﾞ１　下側流量４Max","ｴｯﾁﾝｸﾞ１　下側流量４Ave","ｴｯﾁﾝｸﾞ１　下側流量４Min","ｴｯﾁﾝｸﾞ１　下側流量５Max","ｴｯﾁﾝｸﾞ１　下側流量５Ave","ｴｯﾁﾝｸﾞ１　下側流量５Min","ｴｯﾁﾝｸﾞ１　下側流量６Max","ｴｯﾁﾝｸﾞ１　下側流量６Ave","ｴｯﾁﾝｸﾞ１　下側流量６Min","ｴｯﾁﾝｸﾞ１　下側流量７Max","ｴｯﾁﾝｸﾞ１　下側流量７Ave","ｴｯﾁﾝｸﾞ１　下側流量７Min","ｴｯﾁﾝｸﾞ１　吸引圧力Max","ｴｯﾁﾝｸﾞ１　吸引圧力Ave","ｴｯﾁﾝｸﾞ１　吸引圧力Min","ｴｯﾁﾝｸﾞ２　実処理時間","ｴｯﾁﾝｸﾞ２　温度Max","ｴｯﾁﾝｸﾞ２　温度Ave","ｴｯﾁﾝｸﾞ２　温度Min","ｴｯﾁﾝｸﾞ２　上側圧力Max","ｴｯﾁﾝｸﾞ２　上側圧力Ave","ｴｯﾁﾝｸﾞ２　上側圧力Min","ｴｯﾁﾝｸﾞ２　下側圧力Max","ｴｯﾁﾝｸﾞ２　下側圧力Ave","ｴｯﾁﾝｸﾞ２　下側圧力Min","ｴｯﾁﾝｸﾞ２　上側流量１Max","ｴｯﾁﾝｸﾞ２　上側流量１Ave","ｴｯﾁﾝｸﾞ２　上側流量１Min","ｴｯﾁﾝｸﾞ２　上側流量２Max","ｴｯﾁﾝｸﾞ２　上側流量２Ave","ｴｯﾁﾝｸﾞ２　上側流量２Min","ｴｯﾁﾝｸﾞ２　上側流量３Max","ｴｯﾁﾝｸﾞ２　上側流量３Ave","ｴｯﾁﾝｸﾞ２　上側流量３Min","ｴｯﾁﾝｸﾞ２　上側流量４Max","ｴｯﾁﾝｸﾞ２　上側流量４Ave","ｴｯﾁﾝｸﾞ２　上側流量４Min","ｴｯﾁﾝｸﾞ２　上側流量５Max","ｴｯﾁﾝｸﾞ２　上側流量５Ave","ｴｯﾁﾝｸﾞ２　上側流量５Min","ｴｯﾁﾝｸﾞ２　上側流量６Max","ｴｯﾁﾝｸﾞ２　上側流量６Ave","ｴｯﾁﾝｸﾞ２　上側流量６Min","ｴｯﾁﾝｸﾞ２　上側流量７Max","ｴｯﾁﾝｸﾞ２　上側流量７Ave","ｴｯﾁﾝｸﾞ２　上側流量７Min","ｴｯﾁﾝｸﾞ２　下側流量１Max","ｴｯﾁﾝｸﾞ２　下側流量１Ave","ｴｯﾁﾝｸﾞ２　下側流量１Min","ｴｯﾁﾝｸﾞ２　下側流量２Max","ｴｯﾁﾝｸﾞ２　下側流量２Ave","ｴｯﾁﾝｸﾞ２　下側流量２Min","ｴｯﾁﾝｸﾞ２　下側流量３Max","ｴｯﾁﾝｸﾞ２　下側流量３Ave","ｴｯﾁﾝｸﾞ２　下側流量３Min","ｴｯﾁﾝｸﾞ２　下側流量４Max","ｴｯﾁﾝｸﾞ２　下側流量４Ave","ｴｯﾁﾝｸﾞ２　下側流量４Min","ｴｯﾁﾝｸﾞ２　下側流量５Max","ｴｯﾁﾝｸﾞ２　下側流量５Ave","ｴｯﾁﾝｸﾞ２　下側流量５Min","ｴｯﾁﾝｸﾞ２　下側流量６Max","ｴｯﾁﾝｸﾞ２　下側流量６Ave","ｴｯﾁﾝｸﾞ２　下側流量６Min","ｴｯﾁﾝｸﾞ２　下側流量７Max","ｴｯﾁﾝｸﾞ２　下側流量７Ave","ｴｯﾁﾝｸﾞ２　下側流量７Min","ｴｯﾁﾝｸﾞ２　吸引圧力Max","ｴｯﾁﾝｸﾞ２　吸引圧力Ave","ｴｯﾁﾝｸﾞ２　吸引圧力Min","液切2　実処理時間","水洗１　実処理時間","水洗１　上側圧力Max","水洗１　上側圧力Ave","水洗１　上側圧力Min","水洗１　下側圧力Max","水洗１　下側圧力Ave","水洗１　下側圧力Min","水洗２　実処理時間","水洗２　上側圧力Max","水洗２　上側圧力Ave","水洗２　上側圧力Min","水洗２　下側圧力Max","水洗２　下側圧力Ave","水洗２　下側圧力Min","水洗３　実処理時間","水洗３　上側圧力Max","水洗３　上側圧力Ave","水洗３　上側圧力Min","水洗３　下側圧力Max","水洗３　下側圧力Ave","水洗３　下側圧力Min","新水水洗１　実処理時間","新水水洗１　上側圧力Max","新水水洗１　上側圧力Ave","新水水洗１　上側圧力Min","新水水洗１　下側圧力Max","新水水洗１　下側圧力Ave","新水水洗１　下側圧力Min","液切3　実処理時間","ｱﾙｶﾘ洗浄　実処理時間","ｱﾙｶﾘ洗浄　上側圧力Max","ｱﾙｶﾘ洗浄　上側圧力Ave","ｱﾙｶﾘ洗浄　上側圧力Min","ｱﾙｶﾘ洗浄　下側圧力Max","ｱﾙｶﾘ洗浄　下側圧力Ave","ｱﾙｶﾘ洗浄　下側圧力Min","液切4　実処理時間","水洗４　実処理時間","水洗４　上側圧力Max","水洗４　上側圧力Ave","水洗４　上側圧力Min","水洗４　下側圧力Max","水洗４　下側圧力Ave","水洗４　下側圧力Min","水洗５　実処理時間","水洗５　上側圧力Max","水洗５　上側圧力Ave","水洗５　上側圧力Min","水洗５　下側圧力Max","水洗５　下側圧力Ave","水洗５　下側圧力Min","水洗６　実処理時間","水洗６　上側圧力Max","水洗６　上側圧力Ave","水洗６　上側圧力Min","水洗６　下側圧力Max","水洗６　下側圧力Ave","水洗６　下側圧力Min","新水水洗２　実処理時間","新水水洗２　上側圧力Max","新水水洗２　上側圧力Ave","新水水洗２　上側圧力Min","新水水洗２　下側圧力Max","新水水洗２　下側圧力Ave","新水水洗２　下側圧力Min","液切5　実処理時間","酸洗浄　実処理時間","酸洗浄　上側圧力Max","酸洗浄　上側圧力Ave","酸洗浄　上側圧力Min","酸洗浄　下側圧力Max","酸洗浄　下側圧力Ave","酸洗浄　下側圧力Min","液切6　実処理時間","水洗７　実処理時間","水洗７　上側圧力Max","水洗７　上側圧力Ave","水洗７　上側圧力Min","水洗７　下側圧力Max","水洗７　下側圧力Ave","水洗７　下側圧力Min","水洗８　実処理時間","水洗８　上側圧力Max","水洗８　上側圧力Ave","水洗８　上側圧力Min","水洗８　下側圧力Max","水洗８　下側圧力Ave","水洗８　下側圧力Min","水洗９　実処理時間","水洗９　上側圧力Max","水洗９　上側圧力Ave","水洗９　上側圧力Min","水洗９　下側圧力Max","水洗９　下側圧力Ave","水洗９　下側圧力Min","新水水洗３　実処理時間","新水水洗３　上側圧力Max","新水水洗３　上側圧力Ave","新水水洗３　上側圧力Min"
